0.08,0.071895,0.070146,0.13808
0.1,0.15909,0.088235,NaN
0,0.11688,0.11161,0.14501
0.17,0.11842,0.088097,0.12151
0,0.085352,0.024303,0.1008
0.2,0.10727,0.034245,0.10273
0,0.13072,0.0019332,0.12372
0,0.12803,0.021817,0.1356
0.11,0.16032,0.081193,0.13587
0,0.09035,0.0063518,0.11433
0.07,0.05075,0.080711,0.062271
0,0.16686,0.070828,0.061785
0.2,0.11534,0.11378,0.17564
0.16,0.18032,0.14863,0.075714
0.14,0.14533,0.064899,0.096935
0,0.088043,0.10399,0.1013
0.09,0.092747,0.1024,NaN
0.15,0.053825,0.14167,0.10909
0.11,0.013072,0.12073,0.12218
0.1,0.14187,0.021265,0.13256
0.25,0.11419,0.13753,0.11657
0,0.13149,0.0013808,0.12869
